ID|Title|Director
691|The Servant|Losey
692|Seven Samurai|Kurosawa
693|The Seventh Seal|Bergman
694|Shadow of a Doubt|Hitchcock
695|Shadows|Cassavetes
696|Shadows of Our Forgotten Ancestors|Paradjanov
697|Shane|Stevens
698|She Wore a Yellow Ribbon|Ford
699|Sherlock Jr.|Keaton
700|The Shining|Kubrick
701|Shoah|Lanzmann
702|Sholay|Sippy
703|The Shop around the Corner|Lubitsch
704|Short Cuts|Altman
705|A Short Film about Killing|Kieslowski
706|The Silence|Bergman
707|Les Silences du palais|Tlatli
708|Sin of Nora Moran|Goldstone
709|Singin' in the Rain|Kelly, Donen
710|Snatch|Ritchie
711|Solaris|Tarkovsky
712|Some Came Running|Minnelli
713|Some Like It Hot|Wilder
714|Song of Exile|Hui On-Wah
715|Songs from the Second Floor|Andersson
716|The Sound of Music|Wise
717|Sounds from the Mountains|Naruse
718|Spartacus|Kubrick
719|Spider|Cronenberg
720|The Spider's Stratagem|Bertolucci
721|The Spirit of the Beehive|Erice
722|Spirited Away|Miyazaki
723|Spring in a Small Town|Fei
724|Stagecoach|Ford
725|Stalker|Tarkovsky
726|A Star Is Born|Cukor
727|Star Wars|Lucas
728|Steamboat Bill, Jr.|Riesner
729|Still Life|Saless
730|The Story of a Cheat|Guitry
731|The Story of Qiu Ju|Zhang
732|The Story of the Late Chrysanthemums|Mizoguchi
733|La strada|Fellini
734|Straight Story|Lynch
735|Straits of Love and Hate|Mizoguchi
736|Stranger Than Paradise|Jarmusch
737|Strangers on a Train|Hitchcock
738|Straw Dogs|Peckinpah
739|Strawberry and Chocolate|Gutiérrez Alea
740|Stray Dog|Kurosawa
741|Street of Crocodiles|Brothers Quay
742|Strike|Eisenstein
743|Subete ga kurutteru|Suzuki
744|Sullivan's Travels|P. Sturges
745|Summer with Monika|Bergman
746|Sunrise|Murnau
747|Sunset Blvd.|Wilder
748|Superman|Donner
749|Surprise, Surprise|British Airways
750|Suzaki Paradise|Kawashima
751|Sweet Dreams|Avildsen
752|The Sweet Hereafter|Egoyan
753|Sweet Smell of Success|Mackendrick
754|Swing Time|Stevens
755|Sylvester|Pick
756|2001: A Space Odyssey|Kubrick
